PERMNO,date,TICKER,COMNAM,CUSIP,PRC,VOL,RET
90618,2019-01-02,PBW,INVESCO E T F TRUST,46137V13,21.66000,13599,0.012623
90618,2019-01-03,PBW,INVESCO E T F TRUST,46137V13,21.08000,6927,-0.026777
90618,2019-01-04,PBW,INVESCO E T F TRUST,46137V13,22.22000,76764,0.054080
90618,2019-01-07,PBW,INVESCO E T F TRUST,46137V13,22.77000,11683,0.024753
90618,2019-01-08,PBW,INVESCO E T F TRUST,46137V13,22.93980,14476,0.007457
90618,2019-01-09,PBW,INVESCO E T F TRUST,46137V13,23.16000,26858,0.009599
90618,2019-01-10,PBW,INVESCO E T F TRUST,46137V13,23.44000,93686,0.012090
90618,2019-01-11,PBW,INVESCO E T F TRUST,46137V13,23.57000,10321,0.005546
90618,2019-01-14,PBW,INVESCO E T F TRUST,46137V13,23.34000,8811,-0.009758
90618,2019-01-15,PBW,INVESCO E T F TRUST,46137V13,23.36000,14571,0.000857
90618,2019-01-16,PBW,INVESCO E T F TRUST,46137V13,23.67910,3138,0.013660
90618,2019-01-17,PBW,INVESCO E T F TRUST,46137V13,23.94480,10450,0.011221
90618,2019-01-18,PBW,INVESCO E T F TRUST,46137V13,23.90000,13102,-0.001871
90618,2019-01-22,PBW,INVESCO E T F TRUST,46137V13,23.52000,13437,-0.015900
90618,2019-01-23,PBW,INVESCO E T F TRUST,46137V13,23.48000,11249,-0.001701
90618,2019-01-24,PBW,INVESCO E T F TRUST,46137V13,24.10000,3340,0.026405
90618,2019-01-25,PBW,INVESCO E T F TRUST,46137V13,24.54000,14889,0.018257
90618,2019-01-28,PBW,INVESCO E T F TRUST,46137V13,24.77000,12249,0.009372
90618,2019-01-29,PBW,INVESCO E T F TRUST,46137V13,24.68000,13150,-0.003633
90618,2019-01-30,PBW,INVESCO E T F TRUST,46137V13,24.97810,8357,0.012079
90618,2019-01-31,PBW,INVESCO E T F TRUST,46137V13,25.52400,59374,0.021855
90618,2019-02-01,PBW,INVESCO E T F TRUST,46137V13,25.22000,12313,-0.011910
90618,2019-02-04,PBW,INVESCO E T F TRUST,46137V13,25.51680,14115,0.011768
90618,2019-02-05,PBW,INVESCO E T F TRUST,46137V13,25.65000,9622,0.005220
90618,2019-02-06,PBW,INVESCO E T F TRUST,46137V13,25.88000,85493,0.008967
90618,2019-02-07,PBW,INVESCO E T F TRUST,46137V13,25.50000,17589,-0.014683
90618,2019-02-08,PBW,INVESCO E T F TRUST,46137V13,25.33530,6253,-0.006459
90618,2019-02-11,PBW,INVESCO E T F TRUST,46137V13,25.67000,8691,0.013211
90618,2019-02-12,PBW,INVESCO E T F TRUST,46137V13,25.91000,14531,0.009349
90618,2019-02-13,PBW,INVESCO E T F TRUST,46137V13,26.16000,13496,0.009649
90618,2019-02-14,PBW,INVESCO E T F TRUST,46137V13,26.51000,34879,0.013379
90618,2019-02-15,PBW,INVESCO E T F TRUST,46137V13,26.37000,49038,-0.005281
90618,2019-02-19,PBW,INVESCO E T F TRUST,46137V13,26.87000,26362,0.018961
90618,2019-02-20,PBW,INVESCO E T F TRUST,46137V13,27.09000,15390,0.008188
90618,2019-02-21,PBW,INVESCO E T F TRUST,46137V13,27.17000,13794,0.002953
90618,2019-02-22,PBW,INVESCO E T F TRUST,46137V13,28.20000,28324,0.037909
90618,2019-02-25,PBW,INVESCO E T F TRUST,46137V13,28.20000,53947,0.000000
90618,2019-02-26,PBW,INVESCO E T F TRUST,46137V13,28.19000,47541,-0.000355
90618,2019-02-27,PBW,INVESCO E T F TRUST,46137V13,28.21000,25112,0.000709
90618,2019-02-28,PBW,INVESCO E T F TRUST,46137V13,28.13000,8362,-0.002836
90618,2019-03-01,PBW,INVESCO E T F TRUST,46137V13,28.41000,40848,0.009954
90618,2019-03-04,PBW,INVESCO E T F TRUST,46137V13,28.09000,211228,-0.011264
90618,2019-03-05,PBW,INVESCO E T F TRUST,46137V13,27.95000,17241,-0.004984
90618,2019-03-06,PBW,INVESCO E T F TRUST,46137V13,26.96000,30286,-0.035420
90618,2019-03-07,PBW,INVESCO E T F TRUST,46137V13,26.77000,28981,-0.007047
90618,2019-03-08,PBW,INVESCO E T F TRUST,46137V13,26.43000,31440,-0.012701
90618,2019-03-11,PBW,INVESCO E T F TRUST,46137V13,27.34000,24481,0.034431
90618,2019-03-12,PBW,INVESCO E T F TRUST,46137V13,27.42000,17341,0.002926
90618,2019-03-13,PBW,INVESCO E T F TRUST,46137V13,27.58000,15451,0.005835
90618,2019-03-14,PBW,INVESCO E T F TRUST,46137V13,27.53000,40135,-0.001813
90618,2019-03-15,PBW,INVESCO E T F TRUST,46137V13,27.48000,21298,-0.001816
90618,2019-03-18,PBW,INVESCO E T F TRUST,46137V13,27.77000,18400,0.010553
90618,2019-03-19,PBW,INVESCO E T F TRUST,46137V13,27.95000,29601,0.006482
90618,2019-03-20,PBW,INVESCO E T F TRUST,46137V13,28.02000,25804,0.002504
90618,2019-03-21,PBW,INVESCO E T F TRUST,46137V13,27.64000,16284,-0.013562
90618,2019-03-22,PBW,INVESCO E T F TRUST,46137V13,26.60000,14828,-0.037627
90618,2019-03-25,PBW,INVESCO E T F TRUST,46137V13,26.40000,33224,-0.007519
90618,2019-03-26,PBW,INVESCO E T F TRUST,46137V13,26.33000,13977,-0.002652
90618,2019-03-27,PBW,INVESCO E T F TRUST,46137V13,26.31000,22277,-0.000760
90618,2019-03-28,PBW,INVESCO E T F TRUST,46137V13,26.60000,9683,0.011022
90618,2019-03-29,PBW,INVESCO E T F TRUST,46137V13,26.79000,10878,0.007143
90618,2019-04-01,PBW,INVESCO E T F TRUST,46137V13,27.17000,182255,0.014184
90618,2019-04-02,PBW,INVESCO E T F TRUST,46137V13,27.26000,19153,0.003312
90618,2019-04-03,PBW,INVESCO E T F TRUST,46137V13,27.63000,54029,0.013573
90618,2019-04-04,PBW,INVESCO E T F TRUST,46137V13,27.82000,13228,0.006877
90618,2019-04-05,PBW,INVESCO E T F TRUST,46137V13,28.21000,23149,0.014019
90618,2019-04-08,PBW,INVESCO E T F TRUST,46137V13,28.32000,28164,0.003899
90618,2019-04-09,PBW,INVESCO E T F TRUST,46137V13,27.91000,11894,-0.014477
90618,2019-04-10,PBW,INVESCO E T F TRUST,46137V13,28.13370,12761,0.008015
90618,2019-04-11,PBW,INVESCO E T F TRUST,46137V13,27.95770,12622,-0.006256
90618,2019-04-12,PBW,INVESCO E T F TRUST,46137V13,28.17000,12902,0.007594
90618,2019-04-15,PBW,INVESCO E T F TRUST,46137V13,27.99000,10578,-0.006390
90618,2019-04-16,PBW,INVESCO E T F TRUST,46137V13,28.29000,8260,0.010718
90618,2019-04-17,PBW,INVESCO E T F TRUST,46137V13,28.47000,142139,0.006363
90618,2019-04-18,PBW,INVESCO E T F TRUST,46137V13,28.49000,11905,0.000703
90618,2019-04-22,PBW,INVESCO E T F TRUST,46137V13,28.49000,473307,0.000000
90618,2019-04-23,PBW,INVESCO E T F TRUST,46137V13,28.71000,214008,0.007722
90618,2019-04-24,PBW,INVESCO E T F TRUST,46137V13,28.70720,59306,-0.000098
90618,2019-04-25,PBW,INVESCO E T F TRUST,46137V13,28.38000,44852,-0.011398
90618,2019-04-26,PBW,INVESCO E T F TRUST,46137V13,28.57750,55103,0.006959
90618,2019-04-29,PBW,INVESCO E T F TRUST,46137V13,28.56000,38910,-0.000612
90618,2019-04-30,PBW,INVESCO E T F TRUST,46137V13,28.29000,26364,-0.009454
90618,2019-05-01,PBW,INVESCO E T F TRUST,46137V13,28.42000,57640,0.004595
90618,2019-05-02,PBW,INVESCO E T F TRUST,46137V13,28.33000,62821,-0.003167
90618,2019-05-03,PBW,INVESCO E T F TRUST,46137V13,28.88400,45133,0.019555
90618,2019-05-06,PBW,INVESCO E T F TRUST,46137V13,28.50000,29877,-0.013295
90618,2019-05-07,PBW,INVESCO E T F TRUST,46137V13,28.84000,155101,0.011930
90618,2019-05-08,PBW,INVESCO E T F TRUST,46137V13,28.30000,201569,-0.018724
90618,2019-05-09,PBW,INVESCO E T F TRUST,46137V13,27.94000,159108,-0.012721
90618,2019-05-10,PBW,INVESCO E T F TRUST,46137V13,28.16000,16289,0.007874
90618,2019-05-13,PBW,INVESCO E T F TRUST,46137V13,27.19000,44350,-0.034446
90618,2019-05-14,PBW,INVESCO E T F TRUST,46137V13,27.56000,106896,0.013608
90618,2019-05-15,PBW,INVESCO E T F TRUST,46137V13,27.93000,13435,0.013425
90618,2019-05-16,PBW,INVESCO E T F TRUST,46137V13,28.28000,32003,0.012531
90618,2019-05-17,PBW,INVESCO E T F TRUST,46137V13,27.68000,54907,-0.021216
90618,2019-05-20,PBW,INVESCO E T F TRUST,46137V13,27.25000,20670,-0.015535
90618,2019-05-21,PBW,INVESCO E T F TRUST,46137V13,27.98000,22719,0.026789
90618,2019-05-22,PBW,INVESCO E T F TRUST,46137V13,27.91230,11296,-0.002420
90618,2019-05-23,PBW,INVESCO E T F TRUST,46137V13,27.14000,8085,-0.027669
90618,2019-05-24,PBW,INVESCO E T F TRUST,46137V13,27.29000,7628,0.005527
90618,2019-05-28,PBW,INVESCO E T F TRUST,46137V13,27.57000,12461,0.010260
