date,ICLN,PBW,QCLN,SPY,XLE
2008-06-26,-0.032405,-0.047398,-0.037065,-0.02716,-0.007231
2008-06-27,-0.017685,-0.015122,-0.012302,-0.005459,0.008787
2008-06-30,0.001854,-0.031699,-0.006669,0.003529,0.014098
2008-07-01,-0.028915,-0.014322,-0.021599,0.003126,0.004182
2008-07-02,-0.026375,-0.05397,-0.04382,-0.017137,-0.030163
2008-07-03,-6.3e-05,-0.011519,-0.011241,0.00103,-0.014738
2008-07-07,0.008693,-0.017203,0.000442,-0.010213,-0.025088
2008-07-08,0.000668,0.025409,0.006989,0.017757,-0.016552
2008-07-09,-0.007341,-0.005507,-0.023438,-0.019255,-0.019042
2008-07-10,0.008866,-0.002769,0.014222,0.004087,0.030683
2008-07-11,0.004873,0.004442,0.018843,-0.011652,-0.006075
2008-07-14,0.020225,0.026534,-0.002581,-0.009044,0.006601
2008-07-15,-0.017225,-0.017771,-0.000431,-0.014097,-0.042142
2008-07-16,0.023024,0.048794,0.036756,0.024548,-0.025739
2008-07-17,0.002061,-0.001045,0.001165,0.010003,-0.016398
2008-07-18,-0.008468,0.011512,0.002909,0.00623,0.017465
2008-07-21,0.019256,0.004139,0.011189,0.000556,0.029909
2008-07-22,-0.018493,0.000515,-0.015574,0.011345,-0.033207
2008-07-23,-0.000772,0.004119,-0.006661,0.005413,-0.036307
2008-07-24,-0.044791,-0.041538,-0.048198,-0.020754,-0.002439
2008-07-25,0.011712,0.016051,0.010392,-0.000239,0.002717
2008-07-28,-0.006314,-0.02633,-0.012028,-0.014664,0.003929
2008-07-29,0.023512,0.050298,0.034363,0.021352,-0.011876
2008-07-30,0.023179,0.016993,0.015566,0.017818,0.059547
2008-07-31,-0.010113,-0.035949,-0.015705,-0.013227,-0.04099
2008-08-01,-0.017777,-0.002101,-0.009642,-0.005283,-0.000134
2008-08-04,-0.020179,-0.043684,-0.034204,-0.009274,-0.047049
2008-08-05,-0.004989,0.017611,0.012043,0.026962,0.007476
2008-08-06,0.010989,0.020011,0.01851,0.004441,0.022823
2008-08-07,-0.000422,-0.007423,-0.009524,-0.014892,-0.011636
2008-08-08,-0.017378,0.004274,0.003936,0.018581,-0.016897
2008-08-11,-0.015063,0.010106,0.007267,0.010358,-0.000423
2008-08-12,0.006196,0.00316,0.009198,-0.010405,0.000564
2008-08-13,0.004987,0.028347,0.017128,-0.00603,0.035357
2008-08-14,-0.002373,0.012251,0.010522,0.007544,-0.018367
2008-08-15,0.026384,-0.006051,0.022674,0.004863,-0.018711
2008-08-18,-0.012853,-0.006088,-0.022578,-0.013674,-0.012712
2008-08-19,0.007471,-0.007657,-0.01375,-0.010904,0.035909
2008-08-20,0.026695,0.023148,0.035066,0.004646,0.028863
2008-08-21,0.025588,0.000503,0.014282,0.001724,0.025101
2008-08-22,0.009779,0.01407,0.013847,0.014476,-0.022915
2008-08-25,-0.016818,-0.016848,-0.014924,-0.020285,-0.012999
2008-08-26,-0.008249,-0.019657,-0.013619,0.002913,0.020367
2008-08-27,0.021559,0.01491,0.017729,0.009734,0.015835
2008-08-28,0.009802,0.010132,0.008353,0.012128,-0.017553
2008-08-29,-0.006737,-0.007523,-0.004462,-0.010754,-0.004667
2008-09-02,-0.04228,-0.031834,-0.042167,-0.006212,-0.054923
2008-09-03,-0.034361,-0.021399,-0.039461,-0.000859,-0.003827
2008-09-04,-0.039897,-0.037333,-0.030687,-0.030106,-0.022482
2008-09-05,-0.008538,0.004432,0.009684,0.003144,-0.004076
2008-09-08,-0.010872,-0.018202,-0.019094,0.020656,-0.006869
2008-09-09,-0.091617,-0.071348,-0.086917,-0.029687,-0.069169
2008-09-10,0.00653,0.00363,0.023798,0.004058,0.039368
2008-09-11,-0.010997,-0.002411,-0.000484,0.014468,0.014299
2008-09-12,0.047113,0.036254,0.022287,0.004621,0.033743
2008-09-15,-0.051427,-0.062391,-0.063981,-0.047585,-0.076599
2008-09-16,-0.018208,0.006841,0.027555,0.016738,0.042262
2008-09-17,0.0,-0.067326,-0.032724,-0.044963,-0.020953
2008-09-18,0.021039,0.082782,0.058069,0.029672,0.029869
2008-09-19,0.096413,0.075841,0.061146,0.039485,0.068397
2008-09-22,-0.028306,-0.028425,-0.04383,-0.022639,-0.017544
2008-09-23,-0.032235,-0.031598,-0.031508,-0.022752,-0.033
2008-09-24,0.025191,0.003021,0.014699,0.003205,0.002955
2008-09-25,0.018772,0.012651,0.015934,0.01564,0.024451
2008-09-26,-0.045853,-0.032124,-0.038974,0.000497,-0.0266
2008-09-29,-0.113147,-0.085433,-0.106825,-0.078362,-0.118907
2008-09-30,0.018509,-0.001344,0.04928,0.04139,0.06119
2008-10-01,0.018285,-0.002692,0.004675,0.000603,-0.01643
2008-10-02,-0.087163,-0.082321,-0.090795,-0.036274,-0.057019
