date,XLE,SPY
2008-06-26,-0.007231,-0.02716
2008-06-27,0.008787,-0.005459
2008-06-30,0.014098,0.003529
2008-07-01,0.004182,0.003126
2008-07-02,-0.030163,-0.017137
2008-07-03,-0.014738,0.00103
2008-07-07,-0.025088,-0.010213
2008-07-08,-0.016552,0.017757
2008-07-09,-0.019042,-0.019255
2008-07-10,0.030683,0.004087
2008-07-11,-0.006075,-0.011652
2008-07-14,0.006601,-0.009044
2008-07-15,-0.042142,-0.014097
2008-07-16,-0.025739,0.024548
2008-07-17,-0.016398,0.010003
2008-07-18,0.017465,0.00623
2008-07-21,0.029909,0.000556
2008-07-22,-0.033207,0.011345
2008-07-23,-0.036307,0.005413
2008-07-24,-0.002439,-0.020754
2008-07-25,0.002717,-0.000239
2008-07-28,0.003929,-0.014664
2008-07-29,-0.011876,0.021352
2008-07-30,0.059547,0.017818
2008-07-31,-0.04099,-0.013227
2008-08-01,-0.000134,-0.005283
2008-08-04,-0.047049,-0.009274
2008-08-05,0.007476,0.026962
2008-08-06,0.022823,0.004441
2008-08-07,-0.011636,-0.014892
2008-08-08,-0.016897,0.018581
2008-08-11,-0.000423,0.010358
2008-08-12,0.000564,-0.010405
2008-08-13,0.035357,-0.00603
2008-08-14,-0.018367,0.007544
2008-08-15,-0.018711,0.004863
2008-08-18,-0.012712,-0.013674
2008-08-19,0.035909,-0.010904
2008-08-20,0.028863,0.004646
2008-08-21,0.025101,0.001724
2008-08-22,-0.022915,0.014476
2008-08-25,-0.012999,-0.020285
2008-08-26,0.020367,0.002913
2008-08-27,0.015835,0.009734
2008-08-28,-0.017553,0.012128
2008-08-29,-0.004667,-0.010754
2008-09-02,-0.054923,-0.006212
2008-09-03,-0.003827,-0.000859
2008-09-04,-0.022482,-0.030106
2008-09-05,-0.004076,0.003144
2008-09-08,-0.006869,0.020656
2008-09-09,-0.069169,-0.029687
2008-09-10,0.039368,0.004058
2008-09-11,0.014299,0.014468
2008-09-12,0.033743,0.004621
2008-09-15,-0.076599,-0.047585
2008-09-16,0.042262,0.016738
2008-09-17,-0.020953,-0.044963
2008-09-18,0.029869,0.029672
2008-09-19,0.068397,0.039485
2008-09-22,-0.017544,-0.022639
2008-09-23,-0.033,-0.022752
2008-09-24,0.002955,0.003205
2008-09-25,0.024451,0.01564
2008-09-26,-0.0266,0.000497
2008-09-29,-0.118907,-0.078362
2008-09-30,0.06119,0.04139
2008-10-01,-0.01643,0.000603
2008-10-02,-0.057019,-0.036274
2008-10-03,-0.011923,-0.0135
2008-10-06,-0.053784,-0.050933
2008-10-07,-0.054837,-0.044786
2008-10-08,0.01889,-0.025192
2008-10-09,-0.143965,-0.069839
2008-10-10,-0.040884,-0.024256
2008-10-13,0.164746,0.145198
2008-10-14,0.001187,-0.0148
2008-10-15,-0.144438,-0.098448
2008-10-16,0.038106,0.041657
2008-10-17,0.022024,-0.005972
2008-10-20,0.116456,0.060079
2008-10-21,-0.045428,-0.029855
2008-10-22,-0.097222,-0.054454
2008-10-23,0.053167,0.011584
2008-10-24,-0.062299,-0.050714
2008-10-27,-0.063918,-0.035501
2008-10-28,0.152472,0.116855
2008-10-29,0.022085,-0.007253
2008-10-30,0.046125,0.034594
2008-10-31,0.020854,0.005504
2008-11-03,-0.030934,0.002892
2008-11-04,0.064445,0.033982
2008-11-05,-0.0447,-0.042028
2008-11-06,-0.060217,-0.055411
2008-11-07,0.047269,0.033018
2008-11-10,0.00341,-0.013105
2008-11-11,-0.028789,-0.030876
2008-11-12,-0.081927,-0.044001
2008-11-13,0.117489,0.06234
2008-11-14,-0.041533,-0.049907
2008-11-17,-0.020724,-0.013276
2008-11-18,0.028004,0.018837
2008-11-19,-0.051778,-0.064079
2008-11-20,-0.123684,-0.074233
2008-11-21,0.111612,0.053943
2008-11-24,0.072265,0.069291
2008-11-25,0.015956,0.007409
2008-11-26,0.056003,0.038641
2008-11-28,-0.016047,0.012589
2008-12-01,-0.106404,-0.088578
2008-12-02,0.03383,0.038485
2008-12-03,0.000646,0.024041
2008-12-04,-0.069277,-0.023133
2008-12-05,0.020805,0.030832
2008-12-08,0.044384,0.034914
2008-12-09,0.009974,-0.016484
2008-12-10,0.051739,0.006816
2008-12-11,-0.004695,-0.024082
2008-12-12,-0.009844,0.01194
2008-12-15,-0.005799,-0.013934
2008-12-16,0.031042,0.047066
2008-12-17,-0.006466,-0.009687
2008-12-18,-0.058166,-0.018683
2008-12-19,-0.001538,-0.004263
2008-12-22,-0.029783,-0.012813
2008-12-23,0.002241,-0.010338
2008-12-24,-0.003801,0.005803
2008-12-26,0.013465,0.00577
2008-12-29,0.021922,-0.002868
2008-12-30,0.024269,0.023703
2008-12-31,0.010578,0.014274
2009-01-02,0.049822,0.030142
2009-01-05,0.023529,-0.001183
2009-01-06,0.01091,0.006677
2009-01-07,-0.042397,-0.029956
2009-01-08,0.01288,0.004103
2009-01-09,-0.033578,-0.021441
2009-01-12,-0.039474,-0.024021
2009-01-13,0.025043,0.00184
2009-01-14,-0.047818,-0.031455
2009-01-15,0.0125,0.000356
2009-01-16,0.008014,0.00782
2009-01-20,-0.053288,-0.052786
2009-01-21,0.067181,0.043192
2009-01-22,-0.027435,-0.015467
2009-01-23,0.029084,0.00435
2009-01-26,0.018487,0.006858
2009-01-27,0.001669,0.010158
2009-01-28,0.027286,0.033834
2009-01-29,-0.03528,-0.032498
2009-01-30,-0.013872,-0.020343
2009-02-02,-0.015985,-0.003018
2009-02-03,0.017327,0.014047
2009-02-04,0.009368,-0.004896
2009-02-05,0.024467,0.014881
2009-02-06,0.01853,0.028485
2009-02-09,0.003639,0.001391
2009-02-10,-0.046526,-0.045809
2009-02-11,-0.011407,0.005896
2009-02-12,0.001709,0.000718
2009-02-13,0.002346,-0.010758
2009-02-17,-0.069164,-0.042774
2009-02-18,-0.005716,-0.002398
2009-02-19,0.00023,-0.010743
2009-02-20,-0.025747,-0.009734
2009-02-23,-0.04672,-0.035779
2009-02-24,0.04703,0.03791
2009-02-25,-0.00591,-0.007847
2009-02-26,0.002378,-0.016287
2009-02-27,-0.024105,-0.022349
2009-03-02,-0.073273,-0.045043
2009-03-03,0.004984,-0.007507
2009-03-04,0.047768,0.023691
2009-03-05,-0.044096,-0.040848
2009-03-06,0.010946,0.001744
2009-03-09,0.001805,-0.011753
2009-03-10,0.050695,0.059609
