date,XLE,SPY
2010-06-22,-0.0145975,-0.008258
2010-06-23,-0.0038055,-0.0015515
2010-06-24,-0.010475000000000002,-0.0082855
2010-06-25,0.001433,0.002083
2010-06-28,-0.006763,-0.0015644999999999997
2010-06-29,-0.016512,-0.0154375
2010-06-30,-0.0038945000000000004,-0.00475
2010-07-01,-0.0018115,-0.002228
2010-07-02,-0.001212,-0.002725
2010-07-06,0.0048605,0.0032780000000000005
2010-07-07,0.0176495,0.015736
2010-07-08,0.007070999999999999,0.0049595
2010-07-09,0.002579,0.0037325
2010-07-12,-0.0013305,0.00032399999999999996
2010-07-13,0.006002499999999999,0.007544
2010-07-14,-0.00113,-4.1e-05
2010-07-15,-0.001131,0.000132
2010-07-16,-0.023778,-0.013767499999999998
2010-07-19,0.006379,0.0029535
2010-07-20,0.022858,0.005546
2010-07-21,-0.016338,-0.006499
2010-07-22,0.022146,0.0111655
2010-07-23,0.004483,0.004335
2010-07-26,0.008739,0.005208000000000001
2010-07-27,-0.004793,-4.5e-05
2010-07-28,-0.002223,-0.0032275
2010-07-29,0.001485,-0.002436
2010-07-30,-0.002039,-9.05e-05
2010-08-02,0.034918,0.011290500000000002
2010-08-03,-0.000359,-0.0023945
2010-08-04,0.00772,0.0033415
2010-08-05,0.003207,-0.000531
2010-08-06,-0.011899,-0.002029
2010-08-09,0.004134,0.0026689999999999995
2010-08-10,-0.008233,-0.005460999999999999
2010-08-11,-0.029778,-0.027363999999999996
2010-08-12,-0.005952,-0.003065
2010-08-13,-0.001684,-0.001473
2010-08-16,-0.000187,-0.00023099999999999998
2010-08-17,0.016685,0.0061425
2010-08-18,-0.009589,0.0009125
2010-08-19,-0.016198,-0.017397
2010-08-20,-0.012301,-0.0016219999999999997
2010-08-23,0.000383,-0.0018894999999999997
2010-08-24,-0.015514000000000002,-0.014876
2010-08-25,-0.0031129999999999994,0.0019425
2010-08-26,-0.008977,-0.006701999999999999
2010-08-27,0.025995,0.015489999999999999
2010-08-30,-0.014587,-0.014496
2010-08-31,-0.002727,-4.5e-06
2010-09-01,0.037305,0.029912
2010-09-02,0.008285,0.004656
2010-09-03,0.012138,0.006486
2010-09-07,-0.014945,-0.0056359999999999995
2010-09-08,0.008616,0.0035114999999999994
2010-09-09,0.002043,0.0023095
2010-09-10,0.010378,0.0025335
2010-09-13,0.00807,0.0055525
2010-09-14,-0.003457,-0.000621
2010-09-15,-0.002008,0.0038169999999999996
2010-09-16,-0.004574,-0.000265
2010-09-17,-0.004977,0.000373
2010-09-20,0.016886,0.01529
2010-09-21,0.00073,-0.002014
2010-09-22,-0.007294,-0.004913
2010-09-23,-0.006245,-0.008129
2010-09-24,0.021627,0.020640000000000002
2010-09-27,-0.0038,-0.00479
2010-09-28,0.007083000000000001,0.0035000000000000005
2010-09-29,0.01064,-0.0017439999999999999
2010-09-30,0.000357,-0.00297
2010-10-01,0.013379,0.004206
2010-10-04,-0.012498,-0.007504
2010-10-05,0.023529,0.020131999999999997
2010-10-06,0.008882,-8.6e-05
2010-10-07,-0.005006,-0.001207
2010-10-08,0.012491,0.005587
2010-10-11,0.002742,0.000965
2010-10-12,-0.0015380000000000003,0.003086
2010-10-13,0.012151,0.007777000000000001
2010-10-14,-0.001522,-0.003901
2010-10-15,0.00271,0.002043
2010-10-18,0.002702,0.004928
2010-10-19,-0.019875,-0.013105
2010-10-20,0.012889,0.009766
2010-10-21,-0.000509,0.002206
2010-10-22,0.00662,0.001837
2010-10-25,0.002698,0.002983
2010-10-26,0.002018,0.000169
2010-10-27,-0.004196,-0.002864
2010-10-28,-0.002191,0.000169
2010-10-29,0.000676,0.0007599999999999999
2010-11-01,0.001182,0.000338
2010-11-02,0.011002000000000001,0.007973
2010-11-03,0.002126,0.003976
2010-11-04,0.031786,0.019258
2010-11-05,0.005,0.0038029999999999995
2010-11-08,0.003049,-0.001915
2010-11-09,-0.00192,-0.007184
2010-11-10,0.012865,0.004029
2010-11-11,0.01104,-0.003808
