date,ICLN,PBW,QCLN,IXC,VDE,XLE
2008-07-31,-0.02607,-0.026087,-0.051933,-0.137549,-0.144426,-0.159132
2008-08-29,0.024518,0.039391,0.06698,-0.009118,-0.006781,0.00336
2008-09-30,-0.272376,-0.249116,-0.242303,-0.132505,-0.151297,-0.149162
2008-10-31,-0.397254,-0.335128,-0.335092,-0.178202,-0.200472,-0.187994
2008-11-28,-0.12824,-0.140688,-0.173135,-0.017748,-0.028173,-0.02179
2008-12-31,0.119299,0.015312,0.083649,-0.026102,-0.053796,-0.045171
2009-01-30,-0.052772,-0.088167,-0.033525,-0.05229,-0.019002,-0.017794
2009-02-27,-0.248458,-0.169211,-0.159602,-0.091958,-0.122276,-0.123316
2009-03-31,0.149048,0.163859,0.158113,0.052423,0.038621,0.037823
2009-04-30,0.202749,0.181579,0.19116,0.067547,0.093958,0.078191
2009-05-29,0.124567,0.111359,0.101976,0.163662,0.140516,0.128877
2009-06-30,-0.031601,0.01002,-0.007181,-0.057659,-0.069053,-0.065333
2009-07-31,0.024123,0.043651,0.065759,0.039088,0.055452,0.053486
2009-08-31,-0.094218,-0.062738,-0.031871,0.01348,0.012051,0.010865
2009-09-30,0.099291,0.10142,0.079419,0.054748,0.067835,0.058555
2009-10-30,-0.12129,-0.109576,-0.119625,0.019941,0.017542,0.024666
2009-11-30,0.056779,0.033092,0.053051,0.036228,0.029331,0.028416
2009-12-31,0.038759,0.101101,0.124563,0.00186,0.011616,0.008702
2010-01-29,-0.135592,-0.130909,-0.128065,-0.063341,-0.042821,-0.044027
2010-02-26,-0.070686,-0.018829,0.022181,0.012867,0.024311,0.030092
2010-03-31,0.053691,0.061834,0.089354,0.044313,0.027771,0.028202
2010-04-30,-0.023355,0.01506,0.034712,0.013861,0.044757,0.041551
2010-05-28,-0.17337,-0.133531,-0.12459,-0.118025,-0.119403,-0.114505
2010-06-30,-0.029987,-0.057078,-0.051851,-0.062938,-0.057575,-0.058783
2010-07-30,0.113014,0.108959,0.109179,0.099145,0.080313,0.083736
2010-08-31,-0.044308,-0.065502,-0.094429,-0.050389,-0.044605,-0.049034
2010-09-30,0.112119,0.154206,0.133772,0.109073,0.100426,0.099789
2010-10-29,-0.018019,0.012146,0.01979,0.046072,0.051009,0.056725
2010-11-30,-0.123231,-0.039,0.012132,0.009881,0.06475,0.058575
2010-12-31,0.075081,0.081166,0.042487,0.101711,0.090051,0.093014
2011-01-31,0.041029,0.00385,0.023752,0.060164,0.070333,0.071795
2011-02-28,0.041844,0.03164,0.014277,0.06327,0.075272,0.073684
2011-03-31,0.097206,0.000929,-0.01173,0.008858,0.01761,0.018652
2011-04-29,-0.025464,-0.044568,0.007033,0.022287,0.011651,0.009141
2011-05-31,-0.073489,-0.071915,-0.051655,-0.048668,-0.043865,-0.041862
2011-06-30,-0.038036,-0.057592,-0.049838,-0.023342,-0.020902,-0.019394
2011-07-29,-0.094445,-0.078889,-0.097449,-0.002395,0.01574,0.014599
2011-08-31,-0.098841,-0.125452,-0.101449,-0.095318,-0.106866,-0.102158
2011-09-30,-0.29879,-0.235546,-0.192742,-0.119427,-0.139097,-0.143729
2011-10-31,0.057174,0.106422,0.114885,0.169379,0.184503,0.19142
2011-11-30,-0.047959,-0.084577,-0.078853,0.005412,0.016232,0.01664
2011-12-30,-0.060201,-0.076882,-0.067121,-0.009808,-0.014452,-0.020638
2012-01-31,0.086651,0.136095,0.12512,0.030636,0.020335,0.022566
2012-02-29,0.029364,0.0,0.015162,0.055894,0.060859,0.059273
2012-03-30,-0.04737,-0.030649,-0.018579,-0.04283,-0.036107,-0.037999
2012-04-30,-0.062857,-0.086331,-0.060065,-0.012318,-0.010648,-0.007108
2012-05-31,-0.173311,-0.161417,-0.142939,-0.116315,-0.110801,-0.106822
2012-06-29,0.045625,0.063629,0.075069,0.059184,0.051443,0.047951
2012-07-31,-0.125485,-0.097285,-0.062728,0.024263,0.039161,0.04942
2012-08-31,0.064286,0.0401,0.047433,0.038223,0.022255,0.026992
2012-09-28,0.01936,0.008947,-0.017134,0.019705,0.035123,0.031297
2012-10-31,-0.049635,-0.055288,-0.031425,-0.010425,-0.024304,-0.020357
2012-11-30,0.021505,-0.025445,0.034763,-0.017729,-0.013317,-0.012234
2012-12-31,0.096912,0.065274,0.045185,0.012792,0.012273,0.010286
2013-01-31,0.020921,0.088235,0.109794,0.055948,0.08009,0.08303
2013-02-28,-0.003484,-0.009009,0.036847,-0.02414,0.003259,0.004396
2013-03-28,0.008979,-0.011364,0.03971,0.013066,0.022561,0.025449
2013-04-30,0.154891,0.101149,0.078949,0.001503,-0.012885,-0.013113
2013-05-31,0.058824,0.139875,0.19783,0.003501,0.026822,0.028491
2013-06-28,-0.018012,-0.002359,-0.012948,-0.032927,-0.020984,-0.022679
2013-07-31,0.06624,0.09833,0.120605,0.052508,0.052206,0.052618
2013-08-30,-0.043991,-0.070946,-0.053696,-0.006453,-0.014961,-0.010313
2013-09-30,0.149158,0.159031,0.089065,0.024732,0.023769,0.021229
2013-10-31,0.034281,0.011024,0.044785,0.043393,0.045344,0.041986
2013-11-29,-0.000944,-0.007788,0.013506,-0.004673,0.001684,0.000579
2013-12-31,-0.001608,0.012121,0.038835,0.027306,0.029569,0.028606
2014-01-31,-0.008611,0.028169,0.046875,-0.062008,-0.061299,-0.05796
2014-02-28,0.079333,0.117199,0.102345,0.058954,0.055696,0.051211
2014-03-31,0.002578,-0.033533,-0.017157,0.019567,0.024902,0.020959
2014-04-30,-0.044821,-0.069209,-0.071393,0.059858,0.050697,0.052549
2014-05-30,0.041597,-0.021244,-0.00973,0.006683,0.012822,0.016749
2014-06-30,0.07313,0.074115,0.102037,0.051759,0.053494,0.055121
2014-07-31,-0.056492,-0.087083,-0.071046,-0.042045,-0.037372,-0.034665
2014-08-29,0.052726,0.085851,0.096909,0.024742,0.026556,0.021836
2014-09-30,-0.07725,-0.066335,-0.086514,-0.079572,-0.078308,-0.077342
2014-10-31,-0.038639,-0.045814,-0.042954,-0.046305,-0.039887,-0.035312
2014-11-28,-0.020861,-0.087748,-0.027367,-0.086821,-0.092541,-0.086937
2014-12-31,-0.03677,-0.033207,-0.027592,-0.012148,-0.003598,-0.002187
2015-01-30,0.030475,-0.066414,-0.036564,-0.048669,-0.048558,-0.045604
2015-02-27,0.095729,0.115854,0.109036,0.050594,0.049058,0.04593
2015-03-31,0.084978,0.018384,0.009098,-0.040355,-0.019119,-0.011707
2015-04-30,0.053235,0.030466,0.01779,0.091393,0.070553,0.065739
2015-05-29,-0.027222,-0.019131,0.038136,-0.052402,-0.050774,-0.051887
2015-06-30,-0.071937,-0.033174,-0.056944,-0.037496,-0.03692,-0.034713
2015-07-31,-0.055755,-0.094096,-0.0758,-0.062893,-0.085367,-0.076903
2015-08-31,-0.100952,-0.105906,-0.110199,-0.057047,-0.040994,-0.042519
2015-09-30,-0.040254,-0.060904,-0.074098,-0.071821,-0.075632,-0.071532
2015-10-30,0.081678,0.087805,0.066286,0.108052,0.114913,0.111601
2015-11-30,-0.038776,-0.040359,-0.009666,-0.012583,-0.00254,-0.000147
2015-12-31,0.052681,0.108867,0.085876,-0.09014,-0.110938,-0.10523
2016-01-29,-0.115854,-0.147679,-0.105913,-0.027471,-0.037741,-0.03498
2016-02-29,-0.033333,0.005743,-0.007324,-0.007337,-0.022167,-0.028002
2016-03-31,0.110571,0.002626,0.042541,0.09054,0.105933,0.101845
2016-04-29,-0.014979,0.014852,0.006077,0.091494,0.102773,0.090645
2016-05-31,-0.052174,-0.05122,-0.012081,-0.027631,-0.017012,-0.009333
2016-06-30,0.025014,-0.009046,-0.025713,0.048082,0.028314,0.027014
2016-07-29,0.036765,0.028796,0.081526,-0.020427,-0.019239,-0.012603
2016-08-31,0.00989,-0.025216,-0.030689,0.008215,0.018973,0.016771
2016-09-30,-0.003264,0.015983,0.015607,0.030085,0.034105,0.036645
2016-10-31,-0.032347,-0.052636,-0.040698,-0.015516,-0.037056,-0.028183
2016-11-30,-0.093279,-0.001446,0.046021,0.056276,0.097587,0.084669
