date,vwretd
2007-01-31,0.019387
2007-02-28,-0.014006
2007-03-30,0.012954
2007-04-30,0.039834
2007-05-31,0.038953
2007-06-29,-0.014747
2007-07-31,-0.03179
2007-08-31,0.011593
2007-09-28,0.040822
2007-10-31,0.02591
2007-11-30,-0.049362
2007-12-31,-0.004405
2008-01-31,-0.062218
2008-02-29,-0.021697
2008-03-31,-0.010444
2008-04-30,0.051199
2008-05-30,0.023935
2008-06-30,-0.078436
2008-07-31,-0.013413
2008-08-29,0.010597
2008-09-30,-0.098172
2008-10-31,-0.184833
2008-11-28,-0.084681
2008-12-31,0.022232
2009-01-30,-0.077471
2009-02-27,-0.100166
2009-03-31,0.086803
2009-04-30,0.109466
2009-05-29,0.067787
2009-06-30,-0.003019
2009-07-31,0.081779
2009-08-31,0.03151
2009-09-30,0.045281
2009-10-30,-0.028072
2009-11-30,0.057075
2009-12-31,0.028475
2010-01-29,-0.037172
2010-02-26,0.034744
2010-03-31,0.063668
2010-04-30,0.020036
2010-05-28,-0.07924
2010-06-30,-0.05078
2010-07-30,0.07036
2010-08-31,-0.042863
2010-09-30,0.091628
2010-10-29,0.038591
2010-11-30,0.005117
2010-12-31,0.067182
2011-01-31,0.019183
2011-02-28,0.038156
2011-03-31,0.003341
2011-04-29,0.028597
2011-05-31,-0.014948
2011-06-30,-0.018447
2011-07-29,-0.022534
2011-08-31,-0.057564
2011-09-30,-0.084983
2011-10-31,0.114146
2011-11-30,-0.00627
2011-12-30,0.003676
2012-01-31,0.054106
2012-02-29,0.041225
2012-03-30,0.02402
2012-04-30,-0.006829
2012-05-31,-0.06559
2012-06-29,0.038151
2012-07-31,0.010307
2012-08-31,0.026317
2012-09-28,0.026513
2012-10-31,-0.014055
2012-11-30,0.006217
2012-12-31,0.012569
2013-01-31,0.054142
2013-02-28,0.008282
2013-03-28,0.035295
2013-04-30,0.014939
2013-05-31,0.019128
2013-06-28,-0.015072
2013-07-31,0.052658
2013-08-30,-0.02575
2013-09-30,0.037497
2013-10-31,0.039889
2013-11-29,0.024956
2013-12-31,0.02614
2014-01-31,-0.03002
2014-02-28,0.046198
2014-03-31,0.00454
2014-04-30,0.001573
2014-05-30,0.020254
2014-06-30,0.027973
2014-07-31,-0.020555
2014-08-29,0.040205
2014-09-30,-0.025196
2014-10-31,0.021164
2014-11-28,0.021104
2014-12-31,-0.003659
2015-01-30,-0.027163
2015-02-27,0.055915
2015-03-31,-0.010397
2015-04-30,0.008766
2015-05-29,0.010277
2015-06-30,-0.019231
2015-07-31,0.012108
2015-08-31,-0.059926
2015-09-30,-0.033756
2015-10-30,0.073937
2015-11-30,0.002404
2015-12-31,-0.022209
2016-01-29,-0.057085
2016-02-29,0.00062
2016-03-31,0.070491
2016-04-29,0.011718
2016-05-31,0.01434
2016-06-30,0.002947
2016-07-29,0.038815
2016-08-31,0.0028
2016-09-30,0.003013
2016-10-31,-0.021544
2016-11-30,0.040488
2016-12-30,0.018763
2017-01-31,0.022153
2017-02-28,0.032598
2017-03-31,0.002062
2017-04-28,0.009655
2017-05-31,0.009335
2017-06-30,0.009571
2017-07-31,0.020277
2017-08-31,0.0016
2017-09-29,0.023729
2017-10-31,0.019275
2017-11-30,0.027232
2017-12-29,0.012122
2018-01-31,0.050577
2018-02-28,-0.039455
2018-03-29,-0.018421
2018-04-30,0.004679
2018-05-31,0.026146
2018-06-29,0.005359
2018-07-31,0.031573
2018-08-31,0.030233
2018-09-28,0.000425
2018-10-31,-0.074045
2018-11-30,0.018512
2018-12-31,-0.08989
2019-01-31,0.088294
2019-02-28,0.032724
2019-03-29,0.012962
2019-04-30,0.037893
2019-05-31,-0.061679
2019-06-28,0.067279
2019-07-31,0.011854
2019-08-30,-0.020339
2019-09-30,0.016033
2019-10-31,0.019257
2019-11-29,0.034999
2019-12-31,0.028489
2020-01-31,-0.001728
2020-02-28,-0.077918
2020-03-31,-0.141733
2020-04-30,0.129674
2020-05-29,0.053739
2020-06-30,0.025299
2020-07-31,0.055532
2020-08-31,0.068442
2020-09-30,-0.035056
2020-10-30,-0.020178
2020-11-30,0.123707
2020-12-31,0.045048
2021-01-29,-0.000631
2021-02-26,0.029196
2021-03-31,0.030573
2021-04-30,0.04819
2021-05-28,0.007092
2021-06-30,0.023422
2021-07-30,0.011828
2021-08-31,0.027146
2021-09-30,-0.042243
2021-10-29,0.064651
2021-11-30,-0.018351
2021-12-31,0.033341
2022-01-31,-0.059823
2022-02-28,-0.021838
2022-03-31,0.030506
2022-04-29,-0.089387
2022-05-31,-0.002113
2022-06-30,-0.083998
2022-07-29,0.090351
2022-08-31,-0.036233
2022-09-30,-0.091323
2022-10-31,0.077394
2022-11-30,0.052354
2022-12-30,-0.05712
2023-01-31,0.071823
2023-02-28,-0.024666
2023-03-31,0.02395
2023-04-28,0.008976
2023-05-31,0.000708
2023-06-30,0.066183
2023-07-31,0.035618
2023-08-31,-0.020608
2023-09-29,-0.047391
2023-10-31,-0.028865
2023-11-30,0.092053
2023-12-29,0.053604
2024-01-31,0.007561
2024-02-29,0.050584
2024-03-28,0.03245
2024-04-30,-0.042724
2024-05-31,0.046553
2024-06-28,0.026073
2024-07-31,0.019878
2024-08-30,0.021572
2024-09-30,0.020969
2024-10-31,-0.008298
2024-11-29,0.064855
2024-12-31,-0.031582
