date,ICLN,PBW,QCLN
2008-06-26,-0.032405,-0.047398,-0.037065
2008-06-27,-0.017685,-0.015122,-0.012302
2008-06-30,0.001854,-0.031699,-0.006669
2008-07-01,-0.028915,-0.014322,-0.021599
2008-07-02,-0.026375,-0.05397,-0.04382
2008-07-03,-6.3e-05,-0.011519,-0.011241
2008-07-07,0.008693,-0.017203,0.000442
2008-07-08,0.000668,0.025409,0.006989
2008-07-09,-0.007341,-0.005507,-0.023438
2008-07-10,0.008866,-0.002769,0.014222
2008-07-11,0.004873,0.004442,0.018843
2008-07-14,0.020225,0.026534,-0.002581
2008-07-15,-0.017225,-0.017771,-0.000431
2008-07-16,0.023024,0.048794,0.036756
2008-07-17,0.002061,-0.001045,0.001165
2008-07-18,-0.008468,0.011512,0.002909
2008-07-21,0.019256,0.004139,0.011189
2008-07-22,-0.018493,0.000515,-0.015574
2008-07-23,-0.000772,0.004119,-0.006661
2008-07-24,-0.044791,-0.041538,-0.048198
2008-07-25,0.011712,0.016051,0.010392
2008-07-28,-0.006314,-0.02633,-0.012028
2008-07-29,0.023512,0.050298,0.034363
2008-07-30,0.023179,0.016993,0.015566
2008-07-31,-0.010113,-0.035949,-0.015705
2008-08-01,-0.017777,-0.002101,-0.009642
2008-08-04,-0.020179,-0.043684,-0.034204
2008-08-05,-0.004989,0.017611,0.012043
2008-08-06,0.010989,0.020011,0.01851
2008-08-07,-0.000422,-0.007423,-0.009524
2008-08-08,-0.017378,0.004274,0.003936
2008-08-11,-0.015063,0.010106,0.007267
2008-08-12,0.006196,0.00316,0.009198
2008-08-13,0.004987,0.028347,0.017128
2008-08-14,-0.002373,0.012251,0.010522
2008-08-15,0.026384,-0.006051,0.022674
2008-08-18,-0.012853,-0.006088,-0.022578
2008-08-19,0.007471,-0.007657,-0.01375
2008-08-20,0.026695,0.023148,0.035066
2008-08-21,0.025588,0.000503,0.014282
2008-08-22,0.009779,0.01407,0.013847
2008-08-25,-0.016818,-0.016848,-0.014924
2008-08-26,-0.008249,-0.019657,-0.013619
2008-08-27,0.021559,0.01491,0.017729
2008-08-28,0.009802,0.010132,0.008353
2008-08-29,-0.006737,-0.007523,-0.004462
2008-09-02,-0.04228,-0.031834,-0.042167
2008-09-03,-0.034361,-0.021399,-0.039461
2008-09-04,-0.039897,-0.037333,-0.030687
2008-09-05,-0.008538,0.004432,0.009684
2008-09-08,-0.010872,-0.018202,-0.019094
2008-09-09,-0.091617,-0.071348,-0.086917
2008-09-10,0.00653,0.00363,0.023798
2008-09-11,-0.010997,-0.002411,-0.000484
2008-09-12,0.047113,0.036254,0.022287
2008-09-15,-0.051427,-0.062391,-0.063981
2008-09-16,-0.018208,0.006841,0.027555
2008-09-17,0.0,-0.067326,-0.032724
2008-09-18,0.021039,0.082782,0.058069
2008-09-19,0.096413,0.075841,0.061146
2008-09-22,-0.028306,-0.028425,-0.04383
2008-09-23,-0.032235,-0.031598,-0.031508
2008-09-24,0.025191,0.003021,0.014699
2008-09-25,0.018772,0.012651,0.015934
2008-09-26,-0.045853,-0.032124,-0.038974
2008-09-29,-0.113147,-0.085433,-0.106825
2008-09-30,0.018509,-0.001344,0.04928
2008-10-01,0.018285,-0.002692,0.004675
2008-10-02,-0.087163,-0.082321,-0.090795
2008-10-03,-0.014803,-0.033088,-0.024263
2008-10-06,-0.107752,-0.076046,-0.052694
2008-10-07,-0.10681,-0.106173,-0.133125
2008-10-08,-0.025013,-0.056169,0.001449
2008-10-09,-0.063918,-0.045854,-0.041764
2008-10-10,-0.00867,0.00818,-0.012772
2008-10-13,0.173516,0.1714,0.160578
2008-10-14,0.010258,-0.04329,-0.03541
2008-10-15,-0.143211,-0.124887,-0.14344
2008-10-16,0.033102,0.06515,0.081746
2008-10-17,0.022156,0.01068,-0.010272
2008-10-20,0.043344,0.071086,0.046257
2008-10-21,-0.038947,-0.047534,-0.037835
2008-10-22,-0.125897,-0.062147,-0.071429
2008-10-23,-0.088661,-0.065261,-0.072958
2008-10-24,-0.05344,-0.069818,-0.022241
2008-10-27,-0.088396,-0.06351,-0.057743
2008-10-28,0.039641,0.062885,0.040854
2008-10-29,0.066105,0.019722,0.042819
2008-10-30,0.103141,0.077361,0.066211
2008-10-31,0.009827,0.043295,0.010912
2008-11-03,0.114279,0.063765,0.070627
2008-11-04,0.130678,0.041865,0.062269
2008-11-05,-0.128338,-0.078539,-0.095597
2008-11-06,-0.109378,-0.077304,-0.07392
2008-11-07,0.052167,0.053963,0.010957
2008-11-10,-0.016129,-0.051201,-0.025838
2008-11-11,-0.066697,-0.033298,-0.043993
2008-11-12,-0.153994,-0.118889,-0.091858
2008-11-13,0.133106,0.094578,0.071049
2008-11-14,-0.045186,-0.062212,-0.048321
2008-11-17,-0.022077,-0.017199,-0.045889
2008-11-18,-0.043548,-0.01375,-0.029619
2008-11-19,-0.107364,-0.106464,-0.078931
2008-11-20,-0.148363,-0.116312,-0.118834
2008-11-21,0.067731,0.05618,0.059796
2008-11-24,0.165512,0.133921,0.116447
2008-11-25,0.056803,0.041387,0.03871
2008-11-26,0.056449,0.082368,0.083861
